Original SMILES,Reconstructed SMILES
CN1C=NC(CC(N)C(=O)O)=C1,CN1C=NC(CC(N)C(=O)O)=C1
CCC(=O)C(=O)O,CCC(=O)C(=O)O
CCC(O)C(=O)O,CCC(O)C(=O)O
COC1=CC2=C(C=C1O)CCC1C2CCC2(C)C(=O)CCC12,COC1=CC2=C(C=C1O)CCC1C2CCC2(C)C(=O)CCC12
CC(O)CC(=O)O,CC(O)CC(=O)O
O=C1C=CN(C2CC(O)C(CO)O2)C(=O)N1,O=C1C=CN(C2CC(O)C(CO)O2)C(=O)N1
NC1=NC(=O)N(C2CC(O)C(CO)O2)C=C1,NC1=NC(=O)N(C2CC(O)C(CO)O2)C=C1
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO
CC1=NC=C(CO)C(C(=O)O)=C1O,CC1=NC=C(CO)C(C(=O)O)=C1O
CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O
O=C(O)CC1=CC=C(O)C=C1,O=C(O)CC1=CC=C(O)C=C1
NC(CC1=CC=C(O)C(I)=C1)C(=O)O,NC(CC1=CC=C(O)C(I)=C1)C(=O)O
COC1=CC(CCN)=CC=C1O,COC1=CC(CCN)=CC=C1O
CC(CO)C(=O)O,CC(CO)C(=O)O
NC(=O)NCCC(=O)O,NC(=O)NCCC(=O)O
CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2,CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2
O=C(O)CCCCC1SCC2NC(=O)NC21,O=C(O)CCCCC1SCC2NC(=O)NC21
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
NCCC(=O)NC(CC1=CN=CN1)C(=O)O,NCCC(=O)NC(CC1=CN=CN1)C(=O)O
NC1=NC=NC2=C1NC=N2,NC1=NC=NC2=C1NC=N2
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
CC(O)C(O)C1=NC2=C(NC1)NC(N)=NC2=O,CC(O)C(O)C1=NC2=C(NC1)NC(N)=NC2=O
CC(=O)O,CC(=O)O
CN(C)(C)CC(=O)O,CN(C)(C)CC(=O)O
NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O,NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(O)C1O
NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O
N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
NCCC(=O)O,NCCC(=O)O
NC1=NC=NC2=C1N=CN2C1OC2COP(=O)(O)OC2C1O,NC1=NC=NC2=C1N=CN2C1OC2COP(=O)(O)OC2C1O
CC(=O)CC(=O)O,CC(=O)CC(=O)O
NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,NC1=NC=NC2=C1N=CN2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
CN(C)(C)CC(O)CC(=O)O,CN(C)(C)CC(O)CC(=O)O
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
CN(CC(=O)O)C(=N)N,CN(CC(=O)O)C(=N)N
CNCC(O)C1=CC=C(O)C(O)=C1,CNCC(O)C1=CC=C(O)C(O)=C1
O=C(O)C1CCCCN1,O=C(O)C1CCCCN1
O=C(O)C=C(CC(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O
NCCC1=CC=C(O)C(O)=C1,NCCC1=CC=C(O)C(O)=C1
O=C1CCNC(=O)N1,O=C1CCNC(=O)N1
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
NC(CS)C(=O)NCC(=O)O,NC(CS)C(=O)NCC(=O)O
CC1CNC(=O)NC1=O,CC1CNC(=O)NC1=O
NC1=NC(=O)N(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C=C1,NC1=NC(=O)N(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)C=C1
NC1=NC2=C(N=CN2C2CC(O)C(CO)O2)C(=O)N1,NC1=NC2=C(N=CN2C2CC(O)C(CO)O2)C(=O)N1
CNC,CNC
NC1=NC(=O)N(C2OC(CO)C(O)C2O)C=C1,NC1=NC(=O)N(C2OC(CO)C(O)C2O)C=C1
CN(C)CC(=O)O,CN(C)CC(=O)O
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O
NC1=NC(=O)N(C2OC(COP(=O)(O)O)C(O)C2O)C=C1,NC1=NC(=O)N(C2OC(COP(=O)(O)O)C(O)C2O)C=C1
CN(C)(C)CCO,CN(C)(C)CCO
OC1COC(O)C(O)C1O,OC1COC(O)C(O)C1O
NC(CCSCC(N)C(=O)O)C(=O)O,NC(CCSCC(N)C(=O)O)C(=O)O
NC1=NC=NC2=C1N=CN2C1CC(O)C(CO)O1,NC1=NC=NC2=C1N=CN2C1CC(O)C(CO)O1
OCC(O)C(O)C(O)C(O)CO,OCC(O)C(O)C(O)C(O)CO
CCO,CCO
NCCCC(=O)O,NCCCC(=O)O
O=C(O)CO,O=C(O)CO
COC1=CC(CC(=O)O)=CC=C1O,COC1=CC(CC(=O)O)=CC=C1O
O=CC(=O)O,O=CC(=O)O
OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O
NCC(=O)O,NCC(=O)O
O=C(CO)C(O)C(O)C(O)COP(=O)(O)O,O=C(CO)C(O)C(O)C(O)COP(=O)(O)O
O=P(O)(O)OCC(O)CO,O=P(O)(O)OCC(O)CO
O=C(O)C1OC(O)C(O)C(O)C1O,O=C(O)C1OC(O)C(O)C(O)C1O
N=C(N)NCC(=O)O,N=C(N)NCC(=O)O
O=C(O)CC1=CC(O)=CC=C1O,O=C(O)CC1=CC(O)=CC=C1O
OCC(O)CO,OCC(O)CO
