DATABASE_ID,SMILES
HMDB0000001,Cn1cnc(C[C@H](N)C(=O)O)c1
HMDB0000001,Cn1cnc(C[C@H](N)C(=O)O)c1
HMDB0000001,Cn1cnc(C[C@H](N)C(=O)O)c1
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000002,NCCCN
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000005,CCC(=O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000008,CC[C@H](O)C(=O)O
HMDB0000010,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
HMDB0000010,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
HMDB0000010,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
HMDB0000011,C[C@@H](O)CC(=O)O
